year,month,disputedAmount
2010,7,1133.9500019550323
2010,6,1458.9599959850311
2010,5,1307.8900022506714
2010,8,65825.21995592117
2010,3,102342.63013996743
2010,2,49.90000057220459
2010,1,1672.2100040912628
2010,9,12531.67001080513
2010,4,2614.950008392334
2012,4,133966.4199578762
2012,12,148758.76980686188
2012,3,53605.079978466034
2012,5,131766.37001109123
2012,6,144526.6099665165
2012,10,142902.13978338242
2012,8,119169.8700222969
2012,7,117723.40000319481
2012,9,151439.27982115746
2012,11,135535.4698059559
2012,1,4510.2699954509735
2013,10,149039.39059400558
2013,3,178570.03063941002
2013,7,149856.45061182976
2013,11,142724.01051568985
2013,2,138011.6597955227
2013,9,152858.48069001175
2013,12,146201.16060376167
2013,6,157505.68068408966
2013,4,173318.64064621925
2013,5,164839.24072933197
2013,1,149506.2497897148
2013,8,172568.20096382126
2014,1,2327.82000541687
