Year,Month,PaymentType,AmountPaid
2012,1,CRE,9.70E+07
2014,1,CRE,1709939.913
2013,1,CSH,8.15E+07
2014,1,CSH,1375365.702
2010,1,CSH,4.93E+07
2011,1,CRE,7.70E+07
2013,1,CRE,1.24E+08
2010,1,CRE,3.45E+07
2012,1,CSH,8.01E+07
2011,1,CSH,7.91E+07
2013,2,CSH,7.39E+07
2012,2,CRE,1.01E+08
2012,2,CSH,7.85E+07
2011,2,CSH,8.14E+07
2010,2,CRE,5.34E+07
2011,2,CRE,8.48E+07
2013,2,CRE,1.22E+08
2010,2,CSH,7.01E+07
2013,3,CRE,1.39E+08
2010,3,CRE,6.43E+07
2011,3,CRE,9.78E+07
2013,3,CSH,8.88E+07
2012,3,CRE,1.11E+08
2012,3,CSH,8.74E+07
2011,3,CSH,9.42E+07
2010,3,CSH,8.36E+07
2012,4,CSH,8.68E+07
2010,4,CSH,5.10E+07
2012,4,CRE,1.05E+08
2013,4,CRE,1.35E+08
2010,4,CRE,4.05E+07
2013,4,CSH,8.50E+07
2011,4,CSH,8.86E+07
2011,4,CRE,8.90E+07
2010,5,CSH,5.34E+07
2012,5,CRE,1.09E+08
2013,5,CRE,1.40E+08
2011,5,CSH,9.56E+07
2010,5,CRE,4.23E+07
2012,5,CSH,8.81E+07
2013,5,CSH,8.89E+07
2011,5,CRE,9.71E+07
2010,6,CRE,4.17E+07
2011,6,CRE,9.61E+07
2012,6,CSH,8.40E+07
2013,6,CSH,8.35E+07
2010,6,CSH,4.99E+07
2013,6,CRE,1.34E+08
2011,6,CSH,9.07E+07
2012,6,CRE,1.07E+08
2013,7,CRE,1.24E+08
2010,7,CSH,4.86E+07
2011,7,CSH,8.85E+07
2010,7,CRE,4.10E+07
2012,7,CSH,7.98E+07
2011,7,CRE,9.22E+07
2013,7,CSH,7.92E+07
2012,7,CRE,9.86E+07
2010,8,CRE,6.72E+07
2011,8,CRE,8.37E+07
2013,8,CRE,1.16E+08
2010,8,CSH,8.08E+07
2011,8,CSH,7.90E+07
2012,8,CRE,1.01E+08
2012,8,CSH,8.01E+07
2013,8,CSH,7.50E+07
2013,9,CRE,1.34E+08
2012,9,CSH,9.03E+07
2012,9,CRE,1.23E+08
2010,9,CSH,1.28E+08
2011,9,CRE,9.69E+07
2011,9,CSH,8.82E+07
2013,9,CSH,8.01E+07
2010,9,CRE,1.11E+08
2013,10,CRE,1.43E+08
2011,10,CRE,1.03E+08
2013,10,CSH,8.32E+07
2012,10,CRE,1.25E+08
2010,10,CRE,8.09E+07
2012,10,CSH,9.00E+07
2010,10,CSH,9.06E+07
2011,10,CSH,9.29E+07
2013,11,CSH,7.79E+07
2010,11,CSH,8.81E+07
2011,11,CSH,8.62E+07
2012,11,CRE,1.14E+08
2012,11,CSH,8.41E+07
2013,11,CRE,1.36E+08
2010,11,CRE,7.83E+07
2011,11,CRE,9.52E+07
2012,12,CRE,1.22E+08
2011,12,CRE,9.46E+07
2013,12,CSH,8.07E+07
2012,12,CSH,9.23E+07
2010,12,CSH,8.92E+07
2010,12,CRE,7.72E+07
2013,12,CRE,1.29E+08
2011,12,CSH,9.06E+07
