year,month,paymentType,distanceRange,noOfTrips
2013,1,CRE,10.0,7276861
2013,1,CSH,10.0,6718536
2012,1,CSH,10.0,7716615
2014,1,CRE,10.0,107727
2010,1,CSH,10.0,4874978
2014,1,CSH,10.0,114766
2010,1,CRE,10.0,2290494
2011,1,CRE,10.0,5257646
2012,1,CRE,10.0,6610023
2011,1,CSH,10.0,7637234
2012,1,CSH,20.0,242633
2013,1,CSH,20.0,225694
2012,1,CRE,20.0,309960
2014,1,CRE,20.0,2967
2011,1,CRE,20.0,242286
2014,1,CSH,20.0,2570
2010,1,CRE,20.0,118255
2010,1,CSH,20.0,144775
2011,1,CSH,20.0,228885
2013,1,CRE,20.0,350509
2012,1,CRE,30.0,25731
2012,1,CSH,30.0,21430
2014,1,CRE,30.0,365
2014,1,CSH,30.0,274
2010,1,CRE,30.0,9376
2013,1,CSH,30.0,20495
2011,1,CSH,30.0,19639
2011,1,CRE,30.0,19526
2010,1,CSH,30.0,12205
2013,1,CRE,30.0,29250
2011,1,CRE,50.0,925
2011,1,CSH,50.0,965
2012,1,CRE,50.0,2779
2013,1,CRE,50.0,1600
2010,1,CRE,50.0,403
2010,1,CSH,50.0,594
2013,1,CSH,50.0,1801
2014,1,CSH,50.0,11
2014,1,CRE,50.0,9
2012,1,CSH,50.0,2471
2012,1,CRE,70.0,686
2014,1,CRE,70.0,1
2013,1,CRE,70.0,242
2011,1,CSH,70.0,123
2014,1,CSH,70.0,1
2013,1,CSH,70.0,408
2011,1,CRE,70.0,91
2012,1,CSH,70.0,676
2012,1,CSH,100.0,450
2011,1,CSH,100.0,63
2013,1,CRE,100.0,63
2011,1,CRE,100.0,16
2013,1,CSH,100.0,258
2012,1,CRE,100.0,442
2010,2,CSH,10.0,6941213
2012,2,CSH,10.0,7467860
2010,2,CRE,10.0,3653530
2013,2,CRE,10.0,7206282
2012,2,CRE,10.0,6890444
2013,2,CSH,10.0,6110173
2011,2,CRE,10.0,5655507
2011,2,CSH,10.0,7667849
2012,2,CSH,20.0,231939
2013,2,CRE,20.0,329842
2011,2,CRE,20.0,254148
2011,2,CSH,20.0,222763
2010,2,CSH,20.0,190133
2010,2,CRE,20.0,167611
2012,2,CRE,20.0,312496
2013,2,CSH,20.0,194773
2012,2,CSH,30.0,18142
2013,2,CSH,30.0,16657
2012,2,CRE,30.0,23839
2010,2,CRE,30.0,12885
2010,2,CSH,30.0,14745
2011,2,CRE,30.0,20003
2011,2,CSH,30.0,17941
2013,2,CRE,30.0,26202
2010,2,CSH,50.0,729
2013,2,CRE,50.0,1580
2013,2,CSH,50.0,1209
